"filename", "language", "MS SQL", "Java", "XML", "CSS", "Markdown", "Java Properties", "Docker", "YAML", "comment", "blank", "total"
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/java/org/backend/Controllers/UpdateClassSchedulesController.java", "Java", 0, 60, 0, 0, 0, 0, 0, 0, 0, 16, 76
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/java/org/backend/Controllers/UpdateEquipmentDateController.java", "Java", 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/java/org/backend/HealthAndFitnessMemberJDBCConnect.java", "Java", 0, 70, 0, 0, 0, 0, 0, 0, 32, 22, 124
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/java/org/backend/Main.java", "Java", 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/AddClass.fxml", "XML", 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/AddEquipment.fxml", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/AdminAuthentication.fxml", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/AdminFunctions.fxml", "XML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 52
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/Billing.fxml", "XML", 0, 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/CreateAccount.fxml", "XML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/CreateRoom.fxml", "XML", 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/CreateTrainerAccount.fxml", "XML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/DeleteRoom.fxml", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/FitnessGoals.fxml", "XML", 0, 0, 77, 0, 0, 0, 0, 0, 0, 3, 80
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/Landing.fxml", "XML", 0, 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/LandingStyleSheet.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/ManageRoomBooking.fxml", "XML", 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 66
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/MemberFunctions.fxml", "XML", 0, 0, 213, 0, 0, 0, 0, 0, 0, 3, 216
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/MemberLogin.fxml", "XML", 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/MemberTrainingSession.fxml", "XML", 0, 0, 65, 0, 0, 0, 0, 0, 0, 3, 68
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/MonitorFitnessEquipment.fxml", "XML", 0, 0, 88, 0, 0, 0, 0, 0, 0, 3, 91
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/RemoveClass.fxml", "XML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/RemoveEquipment.fxml", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/zarifkhan/Documents/COURSES/PAST_COURSES/COMP 3005/HealthAndFitnessApp/src/main/resources/RescheduleRoom.fxml", "XML", 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
